Date,삼성전자,SK하이닉스,NAVER,카카오,POSCO홀딩스
2023-01-02,52343.4140625,73773.6328125,177569.359375,52564.02734375,251230.671875
2023-01-03,52249.10546875,73676.171875,176580.109375,53162.48046875,251230.671875
2023-01-04,54512.59375,78938.7734375,180537.09375,55556.2890625,253539.796875
2023-01-05,54889.85546875,79328.5859375,183999.453125,57551.12890625,257234.390625
2023-01-06,55644.35546875,80985.3359375,183010.1875,57052.41796875,264161.71875
2023-01-09,57247.66796875,83811.515625,194386.5,60942.359375,266932.59375
2023-01-10,56964.72265625,84298.8046875,190924.140625,60543.390625,268779.875
2023-01-11,57059.03515625,85078.453125,192902.640625,61740.29296875,269703.5625
2023-01-12,57059.03515625,84591.1640625,191913.40625,61341.32421875,268779.875
2023-01-13,57341.98046875,83519.1484375,192902.640625,61840.03515625,281710.875
2023-01-16,57624.9140625,83616.6171875,198343.484375,64333.5859375,287252.71875
2023-01-17,57530.60546875,83811.515625,191418.78125,61640.55078125,282172.71875
2023-01-18,56964.72265625,82934.4296875,193397.265625,61441.06640625,277092.75
2023-01-19,58002.16015625,83324.2578125,193891.890625,60643.12890625,277554.53125
2023-01-20,58285.10546875,85370.828125,193891.890625,61042.09765625,284943.65625
2023-01-25,59699.7890625,89074.1171875,199827.359375,62438.484375,284943.65625
2023-01-26,60171.3515625,89074.1171875,199827.359375,62438.484375,290023.6875
2023-01-27,60925.84765625,89171.5703125,209225.171875,64533.0703125,287714.59375
2023-01-30,59699.7890625,88391.921875,204773.578125,63136.6796875,287714.59375
2023-01-31,57907.84765625,86247.90625,204773.578125,61740.29296875,280325.46875
2023-02-01,57530.60546875,89074.1171875,203289.71875,62039.515625,280325.46875
2023-02-02,59888.41796875,89074.1171875,203289.71875,64333.5859375,280325.46875
2023-02-03,59888.41796875,89853.7578125,209225.171875,67026.6171875,280325.46875
2023-02-06,58096.4765625,86832.6484375,213182.140625,65031.77734375,276169.0625
2023-02-07,58473.7265625,88489.3828125,217139.125,68423.0078125,275245.375
2023-02-08,59511.1640625,92485.0546875,228020.8125,68921.7109375,275245.375
2023-02-09,59699.7890625,92485.0546875,227526.1875,68921.7109375,282634.53125
2023-02-10,59322.54296875,91120.6640625,227526.1875,67425.5859375,277092.75
2023-02-13,59322.54296875,88294.4765625,220601.484375,64134.1015625,281249.125
2023-02-14,59605.4765625,91023.2109375,221590.734375,64832.29296875,283558.1875
2023-02-15,58662.35546875,89366.4609375,213182.140625,63435.90625,300645.5625
2023-02-16,60077.03515625,90535.9453125,218128.359375,64034.35546875,303878.25
2023-02-17,59039.60546875,89658.8359375,213182.140625,63136.6796875,308496.53125
2023-02-20,59133.9140625,90146.140625,216644.5,64034.35546875,319580.21875
2023-02-21,58568.0390625,88879.203125,213182.140625,62937.1953125,319580.21875
2023-02-22,57624.9140625,86832.6484375,209225.171875,62039.515625,306649.25
2023-02-23,58473.7265625,90341.03125,211203.671875,62338.74609375,306187.40625
2023-02-24,57813.5390625,88684.2890625,205762.828125,61640.55078125,297412.8125
2023-02-27,57059.03515625,87709.75,205762.828125,61740.29296875,294641.84375
2023-02-28,57153.35546875,87124.984375,206257.4375,62239.0,293718.28125
